x,y
494425.4,1527504
494574.5,1527476
494815.5,1527407
495097.7,1527348
495361.4,1527271
495650,1527193
495976.3,1527088
496280.9,1527001
496594.5,1526928
496879.8,1526828
496893.8,1526822
497123.9,1526744
497161.8,1526732
497421.2,1526622
497763.8,1526500
498153.9,1526351
498486.8,1526236
498841.3,1526089
499117,1525972
499382.8,1525858
499648.8,1525728
500000,1525584
500212.9,1525504
500469.1,1525373
500658.3,1525286
500900.4,1525173
,
492956.9,1516137
492863.8,1516099
492753.6,1516031
492518,1516084
492405.4,1516190
492315.8,1516348
492302.8,1516446
492385.1,1516593
492670.5,1516673
492826.1,1516687
493099.8,1516732
493516.1,1516810
493812.2,1516858
494148.6,1516913
494349.7,1516924
494562.7,1516916
494826.5,1516824
494903.1,1516767
494958.3,1516630
494923.6,1516433
494793.9,1516277
494600.4,1516215
494279.2,1516189
494154.9,1516201
493969.9,1516233
493763.5,1516248
493617.5,1516228
493461.8,1516224
493267.2,1516233
493124.5,1516217
493032.6,1516169
492956.9,1516137
,
505670.1,1515684
505532.7,1515645
505384.7,1515523
505483.1,1515431
505600.9,1515378
505789.1,1515295
505907,1515271
506041.1,1515294
506123.2,1515374
506131.8,1515549
506064.8,1515634
505879.8,1515712
505780.3,1515706
505670.1,1515684
,
507495.1,1515729
507362.2,1515725
507228.1,1515709
507209.7,1515598
507293,1515518
507506.1,1515428
507690.9,1515317
507946.3,1515168
508073.9,1515114
508275,1515033
508440.5,1514966
508615.7,1514900
508771.3,1514927
508717.2,1515029
508534.3,1515231
508323.4,1515399
508084.5,1515585
507940.6,1515708
507755.8,1515749
507613.1,1515746
507495.1,1515729
,
496431.8,1515726
496323.7,1515765
496204.8,1515828
496008.2,1515903
495841.6,1515978
495689.1,1516084
495525.9,1516191
495373.5,1516257
495219.9,1516322
495111.9,1516322
494975.6,1516309
494778.8,1516201
494498.7,1516114
494238.2,1516126
493863,1516137
493738.6,1516124
493525.5,1516126
493389.3,1516116
493217.4,1516093
493093.1,1516076
492883.4,1515997
492830.3,1515850
492849.7,1515729
492904.8,1515526
493055.1,1515364
493218.2,1515196
493399.9,1515060
493690.8,1514766
493811.7,1514718
494012.8,1514650
494347,1514610
494766.7,1514626
495138.5,1514590
495549.5,1514556
495998.2,1514530
496351.7,1514519
496627.4,1514513
497076.2,1514486
497369.2,1514471
497767.1,1514380
498086,1514359
498454.9,1514335
498620.2,1514402
498622.4,1514539
498367.2,1514764
497911,1515052
497512.1,1515295
497043.8,1515520
496929.2,1515547
496708.6,1515629
496610.2,1515661
496431.8,1515726
,
493257.1,1514850
493108,1514986
492938.3,1515113
492766.3,1515265
492618.3,1515509
492538.4,1515750
492384.9,1515969
492202.1,1516134
492007.6,1516229
491760,1516244
491470.3,1516189
491073.3,1516006
490632.1,1515741
489944.2,1515331
489499.8,1515149
489007.8,1514889
488512.3,1514620
488210.7,1514450
488105.8,1514399
487956.4,1514339
487858,1514262
487772.6,1514166
487786.6,1514042
487878.5,1513944
488200.7,1513853
488467.6,1513835
488642.8,1513820
488801.8,1513785
488952.1,1513754
489168.3,1513707
489643,1513614
489960.9,1513572
490499.3,1513435
490972.9,1513366
491266.1,1513359
491628.2,1513395
491993.8,1513472
492206.7,1513552
492582.2,1513690
492728,1513790
493032,1513972
493210.4,1514049
493391,1514148
493524.1,1514232
493548.9,1514479
493449.5,1514625
493350.2,1514752
493257.1,1514850
,
501047.8,1514812
500742.9,1514793
500139.5,1514672
499751.2,1514678
499301.5,1514831
498808.5,1515024
498260.2,1515237
498029.9,1515367
497740.3,1515522
497475.3,1515632
497102.2,1515774
496621.1,1515966
496362.8,1516162
495929.2,1516377
495565.9,1516588
495230.8,1516772
495119.5,1516867
494934.6,1516984
494810.3,1517049
494641.6,1517100
494322.6,1517130
494160.5,1517117
493849.2,1517082
493385.2,1517010
492819.8,1516935
492297.4,1516860
491649.7,1516670
491154.5,1516432
489954.2,1515913
488846.8,1515378
488808.9,1515354
488623.9,1515238
488331.9,1515077
488120.1,1514915
487802.1,1514751
487468.9,1514594
486963.8,1514364
486497.7,1514142
486097.4,1513894
485685.3,1513619
485642.1,1513596
485275.3,1513401
484720.4,1513075
484339.6,1512825
483958.9,1512633
483672.2,1512483
483633.2,1512463
483481.8,1512384
483181,1512204
482859.8,1512048
482529.9,1511916
482094,1511709
481898.2,1511587
481481.6,1511338
480977.4,1510932
480492.5,1510546
480028.5,1510341
479790.6,1510262
479450.8,1510082
479124,1509862
478784.2,1509619
478606.8,1509434
478551.5,1509377
,
507907,1509000
507779.4,1508992
507690.8,1508960
507681,1508855
507828.2,1508776
507939.6,1508746
508114.8,1508752
508244.5,1508798
508372.1,1508843
508374.2,1508992
508237.9,1509011
508094.1,1509025
507907,1509000
,
478931.8,1509026
479028.3,1509089
479171.1,1509172
479427.5,1509296
479698,1509457
480095,1509623
480418.5,1509831
480799.4,1510035
481224.6,1510300
481472.3,1510464
481726.5,1510569
481964.6,1510649
482161.3,1510742
482292.3,1510835
482389.7,1510938
482536.9,1510985
482654.6,1510836
482636.2,1510661
482494.2,1510463
482367.7,1510326
482170.9,1510244
481833.3,1510102
481544.5,1509958
481198.3,1509751
480945,1509555
480634.3,1509275
480327,1508950
480028.4,1508698
479778.3,1508446
479630.1,1508332
,
478551.5,1509377
478416.2,1509236
478044.9,1508920
477811.1,1508681
477563.2,1508435
477236.5,1508340
476851.6,1508312
476443.8,1508296
475944.1,1508348
475701.8,1508370
475554.8,1508389
475451,1508384
475095.1,1508362
474757.7,1508325
474340.1,1508337
473840.6,1508434
473579,1508640
473253.8,1508920
472946.8,1509153
472536.1,1509388
472147.1,1509632
471744.9,1509884
471371.9,1510084
471005.8,1510321
470670.8,1510566
470389.8,1510784
470138.1,1511000
469921,1511214
469684.4,1511469
469479.1,1511713
469313.9,1511900
469167.1,1512059
469026.8,1512233
468984.6,1512332
468987,1512452
469015.1,1512518
469033.6,1512562
468998,1512572
468929.7,1512582
468923.2,1512586
468799,1512610
468737.4,1512656
,
508766.9,1508755
508888.1,1508793
509005.9,1508823
509155.1,1508874
509313,1508955
509494.7,1509045
509624.5,1509077
509758.5,1509093
509891.7,1509071
509799.6,1508953
509527.2,1508752
509251.4,1508557
509042.8,1508416
508795.2,1508295
508654.7,1508224
508477.2,1508168
508369.2,1508143
508270.7,1508143
508190.8,1508193
508221.9,1508286
508320.3,1508455
508437,1508566
508532.2,1508643
508630.7,1508700
508766.9,1508755
,
458490.8,1521917
458452.9,1521895
458280.9,1521800
457855.6,1521552
457435.7,1521273
457378.4,1521235
457038.6,1520990
456673.7,1520701
456291.7,1520434
456048,1520222
455971.1,1520155
455821.7,1520006
455570.6,1519790
455475.2,1519700
455322.5,1519558
455151.4,1519380
454938.2,1519155
454576.5,1518811
454308.9,1518538
454080.2,1518261
453947,1518084
453724.8,1517842
453647.8,1517735
453416.1,1517404
453222,1517172
453063.8,1516959
452904.3,1516702
452838.2,1516572
452720,1516355
452621.2,1516235
452555.3,1516130
452370.9,1515866
452252.6,1515688
452180,1515552
452059.6,1515345
452034.8,1515291
451938,1515081
451795.9,1514827
451690.6,1514583
451560.3,1514344
451445.3,1514134
451414.9,1514081
451242.4,1513785
451146.8,1513492
451077.2,1513280
451022.8,1513118
450959.8,1512924
450911.8,1512733
450848.8,1512596
450759.7,1512374
450715.1,1512196
450604.2,1511903
450524.6,1511582
450400.6,1511223
450289.4,1510718
450193.7,1510420
450067,1509825
449911,1509084
449824.9,1508658
449777.5,1508207
449688.9,1507771
,
503771.3,1508118
503869.8,1508172
503965.1,1508176
504140.1,1508195
504286.2,1508203
504435.4,1508200
504597.8,1508223
504697.3,1508233
504843.2,1508246
504961,1508139
504821.6,1508065
504504.8,1507904
504206.3,1507750
503929.5,1507654
503691.4,1507555
503453.6,1507389
503269.7,1507286
503122.5,1507286
503065.2,1507383
503103,1507486
503290.1,1507693
503457.8,1507846
503574.5,1507967
503771.3,1508118
,
474157.4,1507186
473991.8,1507191
473893.3,1507191
473790.6,1507188
473701.9,1507160
473632.6,1507053
473871.5,1506959
474104,1506953
474310.7,1506951
474612.4,1506945
474724.9,1506930
474905.6,1506939
475017,1507010
474904.6,1507121
474739.2,1507133
474529.4,1507161
474408.2,1507183
474275.2,1507186
474157.4,1507186
,
479630.1,1508332
479327.1,1508130
479006.6,1507852
478778.3,1507642
478496.8,1507313
478373.2,1507093
478221.7,1506918
478088.6,1506796
477897,1506729
477719.7,1506722
477544.4,1506728
477305.4,1506737
477057.8,1506775
476668.5,1506834
476401.5,1506868
476150.5,1506890
475879.1,1506940
475583.8,1506990
475430.2,1507056
475191.2,1507099
474965.3,1507204
474739.2,1507238
474360.7,1507268
473872.9,1507290
473513.9,1507269
473141.9,1507307
472756.9,1507347
472460.6,1507416
472147.9,1507470
471931.8,1507577
471784.8,1507659
471570.8,1507850
471373,1508008
471110.5,1508299
470932.4,1508530
470761.9,1508836
470663.7,1509004
470494,1509213
470304.9,1509419
470174.4,1509610
470132.2,1509730
470170.3,1509921
470265.6,1509960
470506.8,1509916
470848.2,1509678
471222,1509390
471477.3,1509286
471750.6,1509138
472092.2,1508890
472327.7,1508741
472554.7,1508602
472780.6,1508488
473045.5,1508342
473310.4,1508233
473491,1508188
473615.4,1508138
473788.4,1508068
474032.6,1508000
474345.2,1507953
474679.3,1507915
475087.1,1507885
475418,1507889
475713.3,1507890
476095.1,1507907
476385,1507844
476719.1,1507814
477104.1,1507804
477448,1507828
477725.1,1507892
477933.9,1507976
478171.9,1508132
478340.8,1508308
478574.6,1508524
478669.9,1508697
478770.6,1508830
478931.8,1509026
,
468737.4,1512656
468594.8,1512763
468486.7,1512893
467905.6,1513283
467545.8,1513486
467462.3,1513528
467280.9,1513621
466904.8,1513788
466567.5,1513903
466376.2,1513946
466094.1,1513962
465896.2,1513961
465775,1513955
465753.2,1513951
465694,1513975
465507.8,1513927
465298,1513889
465168.4,1513861
465041.7,1513822
464796.1,1513739
464446.7,1513634
464112.5,1513537
463871,1513419
463508.7,1513244
463127.7,1512938
462845,1512676
462561.3,1512402
462304.4,1512090
461957.7,1511667
461701,1511235
461430.9,1510825
461217.3,1510457
461055.8,1510136
460864.9,1509792
460690.2,1509418
460541.5,1509074
460398.3,1508779
460302.8,1508535
460264.8,1508438
460188.8,1508194
460112.7,1507977
460058.3,1507774
460070.8,1507523
460004.8,1507431
459960.1,1507218
459915.7,1507135
459871.1,1506999
459839.5,1506868
459811.3,1506760
459788.5,1506719
,
459788.5,1506719
459596.9,1506702
459307.2,1506736
458982.7,1506732
458684,1506723
458410.5,1506718
458117.2,1506746
457840.4,1506734
457611.1,1506695
457452.1,1506705
457281.4,1506820
457215.6,1506970
457168.3,1507136
457025.8,1507264
456915.5,1507373
456884.4,1507541
456920.5,1507722
456987.8,1507872
456991.3,1508065
456945.2,1508231
456830.6,1508302
456681.3,1508350
456478.1,1508307
456309.2,1508236
456142.3,1508064
455940.8,1507891
455721.1,1507813
455441,1507859
455145.8,1507874
454967.3,1507865
454827.8,1507850
454744.5,1507838
454671.9,1507822
454216.7,1507841
453762.3,1507831
452995.5,1507830
452028.5,1507819
451296.3,1507792
450561.8,1507793
449979.8,1507781
449688.9,1507771
,
471432.3,1507664
471587.9,1507556
471728.3,1507464
471931.6,1507376
472148.8,1507300
472324.1,1507244
472518.7,1507181
472738.2,1507124
472935,1507071
473142.6,1507011
473416.2,1506926
473668.1,1506879
473977.4,1506828
474231.5,1506810
474423,1506805
474670.7,1506796
474934.6,1506807
475205,1506798
475418.1,1506782
475758.8,1506742
476038.8,1506720
476261.7,1506696
476621.8,1506659
476975.5,1506621
477341.1,1506581
477550.9,1506572
477780.1,1506561
477961.8,1506532
478181.5,1506600
478419.5,1506763
478486.6,1506852
,
500900.4,1525173
501025.8,1525114
501326.2,1524955
501510.1,1524871
501985.5,1524640
502292.4,1524523
502565.1,1524406
502884.9,1524260
503148.7,1524205
503437.3,1524127
503753.9,1524044
503937.7,1524023
504109.6,1524012
504230.7,1524003
504294.5,1523998
504504.2,1524060
504775.5,1524107
505030.5,1524207
505413.1,1524321
505738.5,1524423
506101.5,1524524
506265.9,1524550
506563.1,1524596
506844.2,1524654
507184.7,1524720
507500.2,1524778
508263.2,1524840
508603.7,1524857
508912.9,1524872
509316,1524844
509939.6,1524825
510200.2,1524822
510552.6,1524793
510927.6,1524733
511235.7,1524675
511660.4,1524574
512136.1,1524484
512444.3,1524382
512739.3,1524268
512992.4,1524148
513346.9,1523988
513732.9,1523797
514040.2,1523648
514156.8,1523575
514309.2,1523480
514679.2,1523274
515087.8,1523025
515379.7,1522867
515429.5,1522840
515590.6,1522689
515931.3,1522435
516174.7,1522233
516391,1522005
516458,1521934
516726.4,1521700
516818.2,1521629
517025.9,1521437
517099.5,1521368
517382.8,1521070
517717.1,1520758
517931.2,1520509
518139.1,1520274
518422.5,1519935
518595.8,1519702
518871.7,1519336
519189.7,1518892
519387.8,1518655
519645.4,1518242
519726.6,1518064
519986.6,1517549
520283.3,1517016
520394.9,1516690
520505.3,1516414
520517.3,1516387
520579,1516211
520583.2,1516200
520644.1,1516046
520665.7,1515991
520714.5,1515701
520845.6,1515456
521124,1514832
521235.8,1514170
521386.7,1513548
521431.3,1513186
521633.9,1512653
521663.3,1512372
521677.6,1512232
521760.2,1511777
521760.2,1511757
521769,1511373
521769.1,1511319
521770.5,1511107
521805.3,1510792
521902,1510196
521901,1510065
521900.2,1509912
521930.4,1509804
521917.6,1509680
522049.7,1509596
522358,1509469
522741,1509307
523010.4,1509156
523365.3,1508994
523966.9,1508641
524471.1,1508405
525117.1,1508097
525544.7,1507861
526068.3,1507599
526413.5,1507421
526853.9,1507252
527417.8,1506945
527659.1,1506806
528175.4,1506534
528240.3,1506504
,
478486.6,1506852
478580.9,1506979
478707.6,1507158
478844,1507304
479015,1507546
479112.5,1507664
479227.2,1507789
479344.2,1507856
479468.6,1507920
479575.7,1507972
479731.4,1508007
479828.8,1508038
479652.5,1508108
479750.1,1508251
479956.6,1508342
480086.5,1508457
480264.2,1508622
480410.2,1508797
480615.9,1509052
480793.3,1509218
480961.1,1509390
481141.8,1509566
481351.8,1509693
481522.8,1509784
481650.3,1509870
481824.5,1509946
481935.9,1510001
482139.4,1510074
482301.6,1510126
482459.6,1510216
482548.2,1510298
482694.4,1510435
482763.8,1510550
482814.6,1510710
482826.5,1510794
482848.4,1510935
482876.4,1511110
482936.1,1511266
483164.5,1511470
483383,1511617
483732.3,1511794
484145.6,1512030
484408.4,1512213
484732.1,1512429
484970,1512608
485299.9,1512874
485474.1,1513007
485690.4,1513149
486013.8,1513343
486280,1513538
486445.5,1513669
486648.9,1513775
486909.4,1513836
487144.1,1513817
487351.6,1513764
487705.4,1513698
487883.7,1513649
488045.8,1513572
488335.7,1513514
488689.2,1513464
488997.4,1513446
489274.2,1513425
489516.4,1513384
489678.5,1513356
489943.4,1513299
490210.4,1513250
490411.7,1513205
490656.1,1513143
490793.3,1513124
491191.2,1513059
491438.8,1513050
491690.8,1513058
491890.8,1513087
492120.2,1513152
492433.8,1513258
492650,1513395
492891.4,1513574
493116.3,1513718
493385.6,1513852
493687.3,1514013
493916.5,1514118
494046.3,1514163
494239.8,1514208
494411.9,1514235
494682.2,1514226
495083.2,1514192
495287.6,1514143
495657.4,1514080
495710.4,1514071
495831.5,1514030
496134.3,1513970
496496.6,1513908
496771.1,1513865
497003.6,1513856
497356.1,1513848
497687.1,1513827
497935.8,1513815
498247.2,1513791
498486.1,1513776
498778.2,1513783
498829.9,1513784
499102.6,1513791
499351.3,1513805
499570.7,1513822
499993.5,1513874
500117.9,1513897
500705.1,1514084
500955.8,1514163
501296.5,1514251
501629.6,1514332
501998.3,1514444
502363.7,1514547
502791.8,1514721
503090.4,1514830
503503.4,1514988
503814.8,1515094
504068.9,1515188
504303.3,1515258
504507.7,1515287
504726.1,1515282
505092.8,1515181
505274.5,1515116
505418.2,1515028
505721,1514930
505848.6,1514886
506148.1,1514808
506462.7,1514758
506752.6,1514718
506994.8,1514681
507211.2,1514663
507462,1514632
507799.3,1514611
508076.1,1514580
508366,1514553
508694.7,1514500
508986.6,1514464
509238.6,1514429
509404.1,1514402
509582.5,1514358
509757.7,1514311
509847.4,1514274
510178.3,1514163
510471.4,1514030
510666.3,1513923
510783.9,1513864
510927.8,1513753
511135.6,1513621
511282.6,1513513
511377.9,1513430
511496.9,1513313
511605.2,1513133
511650.7,1512965
511674.3,1512806
511671.2,1512704
511672.5,1512446
511622.8,1512166
511548.3,1511819
511534.4,1511517
511529.2,1511266
511511.8,1511195
511451.4,1510954
511413.6,1510856
511334.8,1510648
511240.7,1510461
511120.8,1510260
511015.9,1510126
510772.8,1509928
510579.1,1509818
510369.4,1509710
510203.9,1509632
510092.6,1509597
509982.4,1509558
509785.3,1509468
509575.6,1509360
509385.2,1509272
509187.5,1509222
508685.7,1509158
508281.1,1509118
507986,1509153
507597.6,1509164
507320.8,1509140
506919.5,1509090
506396.2,1508920
506142.1,1508783
505891.2,1508636
505497.5,1508487
505195.7,1508396
504788,1508358
504591.1,1508379
504260.1,1508410
504104.5,1508395
503903.3,1508392
503684.9,1508314
503509.6,1508184
503281.6,1507976
503110.6,1507775
502914.8,1507456
502794.8,1507284
502643.4,1507087
502513.6,1506923
502454.1,1506787
502359,1506646
502210.9,1506408
502135.2,1506226
502088.7,1505936
502073.6,1505713
502048.6,1505621
502027,1505484
501974,1505294
501895.2,1505182
501790.3,1505057
501669.1,1504908
,
503530.4,1507204
503635.3,1507240
503825.6,1507292
503956.5,1507390
504124,1507490
504276.5,1507601
504558.9,1507802
504663.8,1507877
504920.1,1508049
505024.9,1508107
505339.6,1508226
505784.1,1508332
506188.8,1508362
506426.4,1508402
506734.8,1508436
507062.4,1508510
507294.9,1508516
507591.3,1508518
507747,1508529
507960.2,1508545
508099.8,1508545
508192.7,1508533
508072.7,1508320
507697.5,1508149
507487.7,1508082
507148.1,1508004
506728.5,1507939
506413.8,1507880
506108.7,1507835
505863.1,1507783
505663.1,1507744
505389.6,1507670
504779.6,1507480
504329.6,1507236
503929.6,1506850
503784.7,1506598
503598.5,1506375
503462.2,1506195
503297.9,1506033
503126,1505852
502889,1505552
502737.6,1505310
502645.8,1505099
502545.2,1504946
502446.7,1504856
502281.2,1504970
502297.4,1505482
502349.3,1505940
502386.2,1506302
502476.9,1506536
502635.9,1506736
502787.3,1506899
502946.3,1506995
503130.2,1507088
503264.3,1507120
503384.4,1507159
503530.4,1507204
,
382487.7,1502786
382273.4,1502787
382099.2,1502788
,
392044.3,1502744
391547.9,1502747
385292,1502773
382487.7,1502786
,
392700.2,1502742
392526,1502743
392044.3,1502744
,
407724.7,1502684
406221.8,1502689
398315.3,1502718
392700.2,1502742
,
408122.8,1502682
407724.7,1502684
,
449688.9,1507771
449637.5,1507453
449574.1,1507123
449577.8,1506809
449529.8,1506561
449446.7,1506075
449412.4,1505719
449383.6,1505349
449377.8,1505115
449332.6,1504691
449301.2,1504196
449269.2,1503801
449225.2,1503379
449206.1,1503077
449188.5,1502916
449171,1502753
449183.7,1502634
449193.2,1502568
448206.5,1502570
440196.8,1502588
437269.3,1502595
436354,1502597
434214.1,1502602
427058.9,1502622
420331.9,1502642
417901.9,1502649
415405,1502657
408122.8,1502682
,
382099.2,1502788
380998.8,1502793
380925.2,1502790
379658,1502743
377722.3,1502751
377091.6,1502754
364211.2,1502812
361474.9,1502825
360422.1,1502831
359144.1,1502838
358298.1,1502841
,
358219,1502843
358298.1,1502841
,
508462.3,1500897
508426.7,1501005
508305.3,1501026
508177.6,1501036
508051.1,1501003
508060.9,1500886
508210.2,1500855
508462.3,1500897
,
517335.2,1499814
517132,1499752
516638.7,1499600
516331.6,1499436
516055.8,1499242
515852.4,1499015
515653.6,1498808
515463.2,1498641
515396.2,1498574
515161.4,1498443
514669.3,1498377
514492.8,1498462
514250.3,1498690
514052.3,1498848
513955.9,1498899
513700.5,1499028
513522,1499132
513222,1499305
513087.9,1499362
512909.4,1499421
512637.8,1499538
512280.8,1499661
511994,1499790
511766.7,1499986
511588.2,1500128
511386.9,1500286
511195.3,1500426
510952.8,1500609
510805.7,1500754
510524.3,1500970
510310,1501111
510214.8,1501143
509861,1501266
509427.2,1501321
509035.4,1501332
508443.7,1501336
507957,1501344
507835.8,1501352
507435.5,1501312
507104.5,1501264
506980,1501250
506671.8,1501226
506404.5,1501209
506162.2,1501196
505876.6,1501188
505491.4,1501133
505198.3,1501100
505008,1501096
504804.4,1501048
504588.1,1501046
504428,1501062
504253.8,1501061
504062.4,1501095
503803.8,1501141
503494.3,1501440
503361.2,1501836
503233.5,1502087
503093.8,1502550
502999.8,1502945
502887.2,1503342
502802.8,1503694
502734.6,1503970
502710.8,1504219
502722.7,1504460
502797.3,1504877
502881.7,1505192
503087,1505495
503365,1505824
503599.7,1506051
503821.5,1506271
504097.2,1506487
504499.6,1506778
504928.9,1507013
505363.7,1507216
505887,1507408
506427.9,1507600
506615,1507668
506958.8,1507708
507368.7,1507748
507619.6,1507783
507916.1,1507782
508167,1507806
508443.9,1507832
508660.1,1507890
508971.4,1508022
509177.1,1508182
509342.4,1508325
509557.6,1508504
509772.7,1508699
509994.4,1508897
510184.6,1509040
510406.3,1509242
510628,1509453
510849.6,1509621
510936.1,1509687
511015,1509744
511169.7,1509871
511363.1,1510064
511568.5,1510350
511627.9,1510528
511662.4,1510672
511680.8,1510741
511774.7,1511096
511868.7,1511328
511898.8,1511767
511907.5,1511819
511951.7,1512081
512023.9,1512324
512037.8,1512658
512051.7,1512925
512053.8,1513144
511995.4,1513389
511869.7,1513655
511825.3,1513764
511748.7,1513887
511635.9,1514045
511479.2,1514108
511301.9,1514171
511128.8,1514269
510963.3,1514386
510806.6,1514488
510523.1,1514642
510184.6,1514790
509993.1,1514862
509681.8,1514912
509599.6,1514839
509468.8,1514758
509339.2,1514741
509147.7,1514792
509064.4,1514889
508961.7,1515016
508817.8,1515242
508740.9,1515353
508629.6,1515448
508497.7,1515590
508373.2,1515691
508157,1515811
508067,1515856
507987.1,1515900
507834.6,1515921
507729.7,1515889
507551.4,1515897
507382.8,1516006
507284.4,1516030
507096,1516029
506937.2,1516048
506742.5,1516104
506472.3,1516208
506357.5,1516217
506182.5,1516169
505982.5,1516133
505784.6,1516160
505622.3,1516154
505419.1,1516086
505258.1,1515964
505054.8,1515903
504879.6,1515916
504663.4,1515933
504393.2,1515885
503993.1,1515724
503815.7,1515648
503399.3,1515493
502853.4,1515287
502262.1,1515091
501830.6,1514950
501566.8,1514869
501255.3,1514826
501047.8,1514812
,
478620.5,1498624
478694.3,1498672
478802.6,1498727
478884.8,1498752
478994,1498733
479092.4,1498718
479184.4,1498670
479241.6,1498584
479340,1498526
479436.5,1498517
479518.7,1498536
479592.2,1498578
479662.5,1498603
479725.3,1498600
479789.2,1498552
479843.1,1498479
479945.7,1498396
480034.6,1498389
480088.8,1498435
480167.7,1498530
480305.2,1498552
480368.9,1498548
480464.2,1498498
480569.1,1498441
480693.4,1498434
480770.5,1498450
480855.8,1498424
480903.3,1498383
480932.4,1498292
480916.2,1498158
480929.1,1497998
480989.6,1497929
481072.9,1497906
481143.3,1497884
481251.4,1497896
481314.2,1497944
481371.7,1498005
481432.2,1498072
481505.9,1498113
481622.7,1498120
481689.8,1498072
481750.3,1497992
481820.6,1497900
481871.3,1497773
481906.9,1497677
481910.2,1497531
481893.8,1497439
481877.5,1497396
,
514902.4,1497482
514969.4,1497551
515003.9,1497666
514812.5,1497697
514596.2,1497543
514418.8,1497377
514326.8,1497279
514264.2,1497179
514442.7,1497152
514579,1497197
514690.4,1497265
514769.4,1497354
514902.4,1497482
,
481877.5,1497396
481988.1,1497472
482068.1,1497522
482301.9,1497686
482638.5,1497882
482994.7,1498187
483202.7,1498350
483324.8,1498428
483734,1498586
483992.5,1498743
484300,1498889
484600.9,1499070
484901.8,1499261
485174.6,1499440
485385.4,1499574
485524.2,1499674
485783.9,1499857
486050.2,1500108
486294.8,1500417
486564.2,1500649
486734.3,1500794
486905.3,1501022
487162.9,1501315
487347.1,1501579
487436.7,1501655
487504.9,1501766
487604.5,1501873
487733.3,1501873
489297.5,1501875
491460.1,1501869
492028.1,1501869
491964.1,1501511
491933.8,1501278
491928.3,1501060
491893.5,1500795
491921.7,1500359
491905.3,1500054
491948.5,1499862
491954.9,1499850
491974.4,1499536
491978.6,1499230
491979.7,1499170
492084.5,1498793
492186.2,1498480
492257.4,1498274
492372.1,1497913
492512.8,1497644
492653.3,1497353
492882.5,1497030
,
460216.1,1501972
460155.5,1501940
460063.3,1501850
459987.3,1501632
459965.2,1501301
459942.8,1500834
459949.8,1500417
459981.6,1500083
460074,1499591
460176.3,1499219
460252.8,1498955
460296.7,1498682
460348,1498271
460405.9,1497934
460491.8,1497588
460599.7,1497302
460673,1497177
460753,1497070
460797.1,1497022
460845,1497041
460908.9,1497132
460896.3,1497342
460841.3,1497527
460697.8,1497836
460624.6,1498058
460583.7,1498262
460504.1,1498490
460439.7,1498773
460430.3,1499095
460452.4,1499380
460487.6,1499680
460499.8,1499982
460500.2,1500248
460483.5,1500688
460467.8,1501037
460435.7,1501336
460419.8,1501441
460406.9,1501587
460384.3,1501673
460340.2,1501778
460311.1,1501873
460270,1501931
460235.5,1501953
460216.1,1501972
,
508640.8,1500739
508572.7,1500863
508690.5,1500961
